C00104083|03012017|50|42|2377
C00633529|03222017|400|1|400
C00277541|02092017|100|1|100
C00557298|03292017|432|25|13001
C00104083|02222017|25|1|25
C00303685|03312017|360|11|4410
C00283135|03272017|128|10|2904
C00629675|03082017|175|6|3450
C00029447|02142017|550|14|6857
C00143743|02232017|2500|3|13500
C00283135|03092017|85|5|1382
C00277541|02012017|166|1|166
C00630517|03092017|1000|1|1000
C00040279|02212017|83|123|14041
C00042366|02062017|250|20|27825
C00630244|03072017|900|1|900
C00630517|03082017|375|6|3150
C00370007|02252017|200|1|200
C00014498|02232017|1000|4|9750
C00029447|02262017|650|2|1300
C00277541|02272017|100|5|1025
C00630244|02202017|250|1|250
C00633529|02172017|500|1|500
C00632067|03152017|500|8|3750
C00104471|02102017|1400|2|2800
C00630913|01252017|250|1|250
C00004812|02162017|166|3|478
C00629675|02242017|500|3|3300
C00095869|02222017|500|1|500
C00630913|03152017|500|1|500
C00029447|02022017|613|4|2325
C00167130|02282017|5000|1|5000
C00029447|02182017|550|3|1650
C00215384|02282017|88|28|2609
C00003558|02132017|300|1|300
C00274944|02142017|750|4|6750
C00143743|02082017|2500|1|2500
C00029447|02112017|750|3|2050
C00274944|02252017|500|11|7100
C00003558|02172017|250|2|500
C00633529|03102017|500|1|500
C00000935|02052017|15|88|4907
C00029447|02102017|98|12|3423
C00633529|03132017|500|1|500
C00540443|02122017|250|1|250
C00355677|02282017|200|14|3675
C00172510|02022017|2500|1|2500
C00630517|01102017|250|1|250
C00283135|03312017|85|60|6213
C00630517|01112017|500|10|9950
C00355677|02132017|1250|1|1250
C00277541|02142017|50|1|50
C00632067|03082017|380|6|4477
C00000935|02242017|200|11|2454
C00630244|02282017|100|3|332
C00435735|02282017|208|17|2777
C00630517|02062017|380|2|760
C00042366|02262017|58|10|1351
C00370007|02022017|113|2|225
C00111302|03062017|300|3|850
C00632067|02142017|250|1|250
C00632067|01292017|1000|1|1000
C00019653|02062017|100|1|100
C00004812|02202017|1000|4|3300
C00040279|02282017|233|9|2324
C00435735|02152017|208|17|2777
C00161414|03312017|77|21|2951
C00630244|02272017|275|2|550
C00000935|02152017|50|49|9112
C00630244|02082017|300|1|300
C00633529|02192017|250|1|250
C00630517|01092017|500|5|2425
C00029447|02212017|750|9|5185
C00143743|02032017|500|1|500
C00630517|02212017|375|2|750
C00632067|03062017|275|10|7250
C00632067|03142017|500|9|6400
C00274944|02232017|500|6|4000
C00004812|02282017|239|6|1068
C00306449|02012017|1000|1|1000
C00630517|01072017|250|1|250
C00346353|02232017|75|7|3467
C00340554|02172017|500|1|500
C00477653|03172017|500|6|5250
C00161786|02012017|664|1|664
C00383489|02222017|192|7|1384
C00283135|03102017|85|1|85
C00236414|01032017|3500|2|7000
C00283135|03112017|30|1|30
C00086256|02242017|84|1|84
C00188367|02052017|35|1|35
C00540443|02052017|250|1|250
C00253260|02062017|100|1|100
C00632067|03172017|250|3|750
C00629675|01302017|275|2|550
C00253260|02222017|100|2|200
C00370007|02272017|500|4|6100
C00014498|02152017|275|2|550
C00631572|03022017|5|1|5
C00014498|02142017|5125|2|10250
C00630517|03022017|500|5|2000
C00104471|02142017|750|2|1500
C00042366|02172017|234|16|3440
C00277541|02262017|170|2|340
C00033423|02072017|5000|1|5000
C00629675|02112017|220|1|220
C00283135|03182017|85|3|248
C00514026|03092017|275|1|275
C00629675|03032017|100|3|449
C00000935|02222017|50|82|12538
C00161414|03152017|77|21|2951
C00000935|02272017|25|50|3888
C00093963|02282017|100|24|3287
C00306449|02102017|1000|1|1000
C00633529|02122017|2000|1|2000
C00306449|02072017|500|1|500
C00303883|02242017|192|10|1592
C00079541|02202017|300|1|300
C00188367|02152017|200|3|565
C00283135|03072017|500|7|3760
C00632067|02232017|1850|2|3700
C00631572|03012017|750|2|1500
C00277541|02192017|250|1|250
C00473249|02032017|375|4|1500
C00283135|03042017|85|1|85
C00632067|03022017|500|1|500
C00042366|02102017|75|12|1920
C00493635|01092017|250|3|1000
C00000935|02142017|25|140|22001
C00303883|03102017|192|11|1633
C00632067|03162017|500|1|500
C00629675|02042017|340|1|340
C00630517|02282017|1000|1|1000
C00111302|03092017|300|1|300
C00014498|02272017|5125|2|10250
C00283135|03082017|143|4|619
C00089482|02152017|225|2|450
C00630517|02262017|500|1|500
C00306449|02142017|535|1|535
C00255257|02152017|425|1|425
C00277541|02052017|40|1|40
C00630517|02252017|260|1|260
C00370007|02012017|500|3|1250
C00405076|02132017|5000|1|5000
C00633529|03142017|250|1|250
C00336842|03082017|5000|1|5000
C00111302|03222017|450|1|450
C00255257|02062017|425|5|2551
C00547349|02182017|250|1|250
C00630517|01232017|250|2|500
C00629675|02212017|250|4|1150
C00632067|02092017|1350|2|2700
C00631572|02132017|1000|1|1000
C00629675|02202017|525|2|1050
C00277541|02132017|25|1|25
C00042366|02212017|300|33|83991
C00143743|02012017|25000|1|25000
C00630913|01092017|375|4|1400
C00346353|02172017|75|2|150
C00630244|03142017|500|1|500
C00303883|01272017|192|8|1420
C00161810|01152017|16|1|16
C00630244|01062017|200|3|760
C00632067|02032017|500|1|500
C00281212|02282017|160|71|13320
C00283135|03122017|100|3|310
C00632067|01252017|2700|1|2700
C00274944|02282017|500|1|500
C00111302|03012017|300|1|300
C00631572|03082017|275|3|1025
C00629675|03022017|500|4|1950
C00089482|02102017|250|1|250
C00631572|03062017|500|4|1520
C00630517|01152017|625|2|1250
C00029447|02152017|123|30|9705
C00629675|02092017|250|5|1984
C00082040|02282017|500|1|500
C00019653|02282017|169|32|6673
C00631572|01242017|500|2|1000
C00004812|02242017|100|2|200
C00283135|03062017|85|1|85
C00355677|02272017|1000|1|1000
C00161810|01092017|1000|1|1000
